Table Name:,Craig’s Impaired Life Table
Table Identity:,2829
Provider Domain:,soa.org
Provider Name:,Susie Lee
Table Reference:,"James M. Craig, “Observations on Impaired Lives”, Actuarial Society of America (1890) reprinted Miles Menander Dawson, “Practical Lesson in Actuarial Science”, The Spectator Company (New York, 1898). Accessed: June, 2014 from  https://archive.org/stream/practicallessons00dawsrich#page/334/mode/2up/search/%22impaired+lives%22"
Content Type:,Life Table
Table Description:,Craig’s Impaired Life Table. Minimum Age: 10 Maximum Age: 98
EffDate:,
Comments:,"Study Data: Mr. James Craig was an actuary of the Metropolitan Life Insurance Company. As no experience existed for impaired or sub-standard lives, Mr. Craig modified the Actuaries’ Table (See SOA Table Identity 252), a British table based on those who have passed a medical examination. When initially reproduced, Mr. Dawson was of the opinion that the table was suitable for use in industrial insurance. Mr. Craig protested this form and hence in subsequent publications, the original name, that of “impaired lives” was restored. Methodology: Modification consisted of doubling the rate of mortality to age 60 after which it gradually declines towards the Actuaries’ Table ratios. Data Transcription Errors: None. Data Certified: 06/2014"
Keywords:,"Aggregate,Life Table,Survival,United States of America"

Table # ,1
Table Description:,Craig’s Impaired Life Table. Minimum Age: 10 Maximum Age: 98
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",1
"Row, Column (if applicable)->MaxScaleValue:",98
"Row, Column (if applicable)->Increment:",1

Row\Column,1
1,100000
2,98648
3,97309
4,95983
5,94668
6,93362
7,92065
8,90776
9,80494
10,88217
11,86946
12,85678
13,84414
14,83154
15,81896
16,80640
17,79387
18,78135
19,76884
20,75632
21,74380
22,73127
23,71872
24,70615
25,69355
26,68093
27,66827
28,65559
29,64289
30,63015
31,61738
32,60459
33,59176
34,57887
35,56584
36,55260
37,53910
38,52526
39,51106
40,49648
41,48153
42,46618
43,45043
44,43426
45,41768
46,40071
47,38335
48,36652
49,34757
50,32923
51,31063
52,29216
53,27387
54,25579
55,23798
56,22049
57,20338
58,18673
59,17059
60,15503
61,14013
62,12594
63,11251
64,9989
65,8812
66,7721
67,6718
68,5804
69,4976
70,4233
71,3572
72,2991
73,2484
74,2047
75,1673
76,1356
77,1078
78,838
79,636
80,468
81,332
82,225
83,144
84,86
85,47
86,23
87,10
88,4
89,1
