"","x"
"1",1e+05
"2",99112
"3",99061
"4",99025
"5",98997
"6",98974
"7",98953
"8",98931
"9",98910
"10",98889
"11",98869
"12",98849
"13",98830
"14",98807
"15",98777
"16",98734
"17",98673
"18",98594
"19",98503
"20",98403
"21",98298
"22",98189
"23",98076
"24",97957
"25",97836
"26",97711
"27",97581
"28",97448
"29",97314
"30",97176
"31",97035
"32",96891
"33",96744
"34",96598
"35",96453
"36",96309
"37",96165
"38",96022
"39",95875
"40",95721
"41",95559
"42",95383
"43",95189
"44",94980
"45",94762
"46",94537
"47",94293
"48",94016
"49",93686
"50",93317
"51",92911
"52",92480
"53",92016
"54",91513
"55",90954
"56",90339
"57",89657
"58",88904
"59",88075
"60",87158
"61",86123
"62",84985
"63",83752
"64",82406
"65",80959
"66",79394
"67",77684
"68",75840
"69",73890
"70",71815
"71",69622
"72",67369
"73",65085
"74",62677
"75",60053
"76",57085
"77",53851
"78",50533
"79",47241
"80",44045
"81",40823
"82",37566
"83",34224
"84",30903
"85",27584
"86",24336
"87",21160
"88",18165
"89",15359
"90",12789
"91",10466
"92",8417
"93",6625
"94",5087
"95",3800
"96",2759
"97",1944
"98",1330
"99",877
"100",556
"101",338
"102",196
"103",108
"104",57
"105",28
"106",13
"107",6
"108",2
"109",1
